DISTRICT,WARD ,VILLAGE ,LATITUDE (Y),LONGITUDE (X),YEAR,HH_SERVED,FUNCTIONAL_STATE,PUMP_TYPE,OUTLETS,SOAK_AWAY_PIT,PROTECTED,DATE OF LAST VISIT,VPM_VISITS/YEAR,BH_COMMITTEE,SEASONALITY,AQUIFER_YIELD,BH_DEPTH ,PALATABILITY,TOTAL _DISSOLVED -SOLIDS
Buhera,29,Makura,-19.341301,32.0423544,2015,30,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/02/22,2,Functional,Perennial,38,105,TRUE,409
Chipinge,23,Zamchiya,-20.7226379,32.4785727,1990,0,Non-Functional,Bush Pump Type B,1,FALSE,No,2022/07/01,2,Non-functional ,Seasonal,0.698917784,96,TRUE,74
Chipinge,4,Hwapera,-20.1115023,32.4345513,2014,20,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/03/14,1,Functional,Seasonal,0.324660504,26,TRUE,175
Makoni,7,9,-18.1176513,32.2287238,1971,5,Partially Functional,Bush Pump Type A,1,FALSE,No,2023/03/22,3,Functional,Perennial,0.674597344,35,TRUE,197
Mutare,2,T2,-19.0300283,32.1891845,1986,42,Fully Functional,Bush Pump Type B,1,FALSE,No,2022/01/07,1,Functional,Perennial,0.014020031,59,FALSE,604
Chipinge,1,Maunganidze,-19.4145607,32.3423538,1986,14,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/06/01,1,Functional,Perennial,12,26,TRUE,401
Makoni,19,Sabhabha,-18.5530447,32.304407,1993,19,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/07/01,2,Functional,Seasonal,0.078652916,75,TRUE,368
Nyanga,5,Vhurande,-17.5830132,32.171819,1986,12,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/02,1,Functional,Seasonal,0.052389167,23,TRUE,242
Mutare,20,Musabayana,-19.2703109,32.5953897,2015,25,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/17,1,Functional ,Seasonal,0.88648015,85,TRUE,66
Mutare,27,Murahwa,-19.3650184,32.5544228,2000,15,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/09,1,Functional,Perennial,0.790350906,93,TRUE,492
Mutasa,19,Dombo Village 9,-18.6843614,32.7352078,2015,30,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/06/19,1,Non-existent,Perennial,29,49,FALSE,624
Nyanga,17,Nyapfupi,-17.4213027,32.6360448,2014,20,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/02/21,3,Functional,Perennial,27,20,TRUE,46
Makoni,19,Ndapfunya/gibrolter,-18.5825016,32.246228,2015,10,Fully Functional,National Pump,1,FALSE,Yes,2023/05/26,3,Non-existent,Seasonal,0.441488149,30,FALSE,819
Chipinge,27,Garikanai,-20.976878,32.1677959,2010,50,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/16,1,Functional ,Perennial,16,79,TRUE,583
Chipinge,25,ZIKHUYUMO,-20.8050574,32.4138161,1999,30,Non-Functional,Bush Pump Type B,1,FALSE,No,2022/08/07,1,Non-functional ,Seasonal,0.725578112,99,TRUE,41
Buhera,6,Nhamoinesu,-19.3262234,31.4708722,2006,63,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/03/12,3,Functional,Perennial,43,49,TRUE,38
Mutare,22,Matsika Mutsiyabako,-19.4091886,32.7175914,1994,13,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/12/30,1,Non-functional ,Perennial,25,104,FALSE,811
Mutasa,12,Tadyamhandu,-18.4546518,32.5639145,2015,12,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2023/04/22,3,Functional ,Perennial,35,92,TRUE,415
Nyanga,4,Tsengerai,-17.5683405,32.7730942,1990,40,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/02/26,2,Functional,Seasonal,0.828438001,32,TRUE,181
Mutare,19,MUREHWA,-19.351888,32.361513,2014,10,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/30,1,Functional,Perennial,17,63,TRUE,416
Mutare,2,I,-19.0579381,32.2239817,1971,62,Non-Functional,Bush Pump Type B,1,FALSE,No,2023/05/22,3,Functional ,Perennial,0.792641674,33,FALSE,946
Mutare,24,Mupombwa,-19.4379135,32.3243488,1993,30,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/03/24,1,Functional,Perennial,5,106,TRUE,97
Mutare,30,Gonora,-19.5424351,32.2621138,1986,60,Non-Functional,Bush Pump Type B,1,TRUE,Yes,2022/10/22,1,Non-existent,Perennial,28,107,FALSE,821
Makoni,1,Zinyongo,-17.6882652,32.4571934,2015,30,Fully Functional,Bush Pump Type C,1,FALSE,Yes,2022/06/15,1,Functional,Perennial,25,78,TRUE,119
Mutare,26,Bvirindi A,-19.3741455,32.5317432,2000,20,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/12,3,Functional,Perennial,45,60,TRUE,231
Chipinge,24,Madhuku 2,-20.6983086,32.3463321,2015,15,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/17,1,Functional ,Perennial,44,75,FALSE,755
Buhera,15,Zivei,-19.3566718,31.7460483,2014,16,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/05/18,1,Non-existent,Perennial,49,65,FALSE,954
Chipinge,17,Tambudzai .,-20.44711,32.4624229,2015,25,Non-Functional,Bush Pump Type C,1,FALSE,Yes,2022/03/17,1,Non-functional ,Seasonal,0.295360834,49,TRUE,377
Chipinge,1,Ngaoni,-19.9643046,32.3858394,2010,16,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/01/22,1,Functional,Seasonal,32,99,TRUE,206
Chipinge,1,Mindu,-20.0195564,32.4209269,1999,30,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/06/12,2,Functional,Perennial,4,89,TRUE,456
Chipinge,23,Nyadzonya,-20.7272505,32.4169537,2006,15,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/08/10,1,Functional,Perennial,8,34,TRUE,152
Chimanimani,20,Nhachi,-19.8751594,32.4219253,1994,16,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/02/03,2,Functional,Perennial,5,43,TRUE,274
Mutasa,22,Primir South,-18.9140188,32.5416286,2015,23,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/22,1,Functional,Perennial,36,75,TRUE,182
Makoni,23,Kutsanzira,-18.7082661,32.384942,1990,15,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/11/30,1,Functional,Perennial,24,29,TRUE,12
Buhera,30,Makanzaire,-19.7728756,32.3781638,2014,18,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/10/20,1,Non-existent,Seasonal,14,26,FALSE,628
Mutare,30,Gonora,-19.5387912,32.2447031,1971,22,Non-Functional,Bush Pump Type B,1,TRUE,Yes,2022/08/30,1,Non-existent,Perennial,16,100,FALSE,826
Buhera,29,Tapedzwa,-19.8508988,32.213437,2004,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/11/28,1,Functional,Seasonal,0.117586803,83,TRUE,384
Mutasa,23,Premier Central,-18.9071653,32.5689468,2004,15,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/02/19,2,Functional,Perennial,14,95,TRUE,148
Chipinge,1,Murepa,-19.9652689,32.4878652,1994,25,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/27,1,Functional,Perennial,25,50,TRUE,405
Makoni,36,Chingara,-17.7688798,32.5462744,1989,14,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/01/15,1,Functional,Perennial,37,57,TRUE,136
Mutasa,24,Kadzima,-18.7626432,32.6013185,1993,10,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/11/29,2,Functional,Perennial,16,42,TRUE,42
Mutare,19,CHINDOTI,-19.3213418,32.38811,1986,10,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/05/28,2,Functional,Perennial,1,103,TRUE,15
Mutasa,15,Chinamasa,-18.5800177,32.5681778,1993,17,Fully Functional,Bush Pump Type B,1,TRUE,No,2022/01/29,2,Functional,Perennial,9,112,TRUE,406
Makoni,18,Nyagumbo,-18.654919,32.3320319,1986,10,Non-Functional,Bush Pump Type C,1,FALSE,Yes,2023/03/12,3,Functional ,Perennial,31,54,TRUE,132
Makoni,8,36,-18.158288,32.2943631,2015,30,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/25,2,Functional,Perennial,28,110,TRUE,217
Mutasa,23,Saungweme,-18.8523681,32.6117198,2000,17,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/05/08,1,Functional,Perennial,21,91,FALSE,814
Mutare,6,Mukwecheni,-19.0964401,32.6757847,2015,16,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/05,3,Non-functional ,Perennial,16,66,TRUE,398
Mutasa,15,Mhukayesango,-18.5882254,32.5406931,2014,20,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/05,1,Functional,Perennial,32,41,FALSE,681
Mutare,4,Chipfatsura B,-19.1590752,32.2913444,2015,35,Fully Functional,Bush Pump Type B,1,FALSE,No,2022/11/14,1,Functional,Perennial,5,56,TRUE,153
Makoni,22,Manana Village,-18.607438,32.3895409,2010,37,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/11/09,2,Functional,Perennial,16,22,TRUE,205
Makoni,1,Danga,-17.7231216,32.4798304,1999,25,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/20,2,Functional,Perennial,41,28,TRUE,389
Buhera,1,Rukangarabwe,-19.1985067,31.3860391,2006,39,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/12/10,1,Functional,Perennial,7,84,FALSE,704
Makoni,10,37 Domborembizi,-18.4059506,32.3835681,1994,0,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/05/22,2,Non-existent,Perennial,41,22,TRUE,441
Mutare,2,21b,-19.1382932,32.2210431,2015,43,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/11/05,1,Functional,Perennial,0.972731677,102,TRUE,17
Makoni,22,Mutsai,-18.6273915,32.352166,1990,11,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/01,3,Functional,Perennial,43,106,TRUE,64
Chimanimani,3,Jings,-19.6208098,32.5114408,2014,11,Fully Functional,Rope and Bucket,1,FALSE,Yes,2023/05/03,3,Functional,Perennial,5,103,TRUE,313
Nyanga,8,Chibaya,-17.8413088,32.6684755,1971,50,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/11,1,Functional,Seasonal,0.71108353,23,TRUE,207
Chipinge,3,Goko,-19.442306,32.3523425,2016,35,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/06,2,Functional,Perennial,35,113,TRUE,345
Mutasa,6,Sanhewe,-18.5378,32.8164911,2013,32,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/01/30,1,Functional,Seasonal,5,49,TRUE,554
Buhera,15,Muchefa,-19.3607024,31.6941725,1987,16,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2023/02/15,3,Non-existent,Perennial,0.887606912,70,TRUE,434
Mutasa,12,Mandimutsira,-18.512479,32.5774722,2012,25,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/06/03,2,Functional,Perennial,47,110,TRUE,253
Mutare,24,Kungai,-19.3977373,32.3528373,1966,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/08/31,2,Functional,Perennial,19,93,TRUE,441
Buhera,10,Taruvinga,-19.102769,31.7813797,2008,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/01/02,1,Non-Functional,Perennial,36,67,TRUE,420
Buhera,19,Mbuyamhenzi,-19.48714,31.6863781,1918,15,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2022/02/16,1,Functional,Perennial,41,47,FALSE,635
Mutare,35,Nyangani,-19.0631417,32.5253138,2013,16,Partially Functional,Bush Pump Type B,1,TRUE,Yes,2023/04/26,3,Non-Functional,Perennial,31,26,TRUE,551
Chipinge,22,Chiso B AND C,-20.5700079,32.3295959,1998,23,Fully Functional,National Pump,1,FALSE,No,2023/05/31,3,Non-existent,Seasonal,42,99,TRUE,249
Buhera,23,Manyuchi,-19.4700119,32.0329787,1986,15,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/07/19,1,Non-existent,Seasonal,6,112,FALSE,1000
Chimanimani,18,Chikutukutu,-19.8216207,32.6353946,1965,18,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/01/08,2,Functional,Perennial,29,90,FALSE,640
Buhera,22,Mabhegedhe,-19.5436094,32.0029968,1990,22,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/19,3,Functional,Perennial,12,31,FALSE,684
Makoni,20,Dzinemurumbi,-18.4256364,32.4171071,1999,16,Partially Functional,Bush Pump Type A,1,TRUE,Yes,2023/01/30,3,Functional,Seasonal,38,63,FALSE,947
Buhera,22,Zvenyika,-19.4974105,31.9578037,1990,15,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/07/05,2,Functional,Perennial,44,25,FALSE,914
Mutare,26,Natsai,-19.358381,32.53407,1986,25,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/06,1,Functional,Perennial,10,66,TRUE,426
Mutare,12,Ringai,-19.2332329,32.4522557,1993,14,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/12/15,1,Functional,Perennial,45,55,TRUE,414
Chimanimani,4,Maguta,-19.5718582,32.6489318,1986,10,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/02/04,3,Functional,Seasonal,0.02229834,33,TRUE,526
Makoni,22,Haisoswi Village,-18.603087,32.3496244,2015,10,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/05/18,2,Non-existent,Seasonal,0.780229572,72,FALSE,642
Mutasa,14,Haparari,-18.6011432,32.4532075,2000,17,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/02/26,3,Non-Functional,Perennial,0.5222215,104,FALSE,728
Makoni,7,14,-18.1702901,32.1071862,2015,10,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/09/24,1,Non-existent,Perennial,0.772667335,107,TRUE,109
Mutare,35,Mutukwa,-19.1121982,32.5311103,2014,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/07/29,1,Functional,Perennial,20,66,TRUE,157
Makoni,1,Mutsahuni,-17.6748006,32.4875795,2015,17,Partially Functional,Bush Pump Type A,2,TRUE,Yes,2022/06/20,1,Functional,Perennial,25,46,TRUE,303
Chipinge,25,ZIKHUYUMO,-20.823948,32.4082343,2010,16,Non-Functional,Bush Pump Type B,1,FALSE,No,2022/03/15,1,Non-functional ,Seasonal,0.100132196,33,FALSE,813
Buhera,15,Chiparo,-19.2919994,31.707003,1999,17,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/07/30,2,Functional,Perennial,26,54,TRUE,120
Makoni,7,30,-18.083502,32.2968258,2006,21,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/18,3,Non-Functional,Perennial,0.119923031,22,TRUE,142
Mutare,20,Mwapaona,-19.2694023,32.5444833,1994,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/03,2,Functional,Perennial,24,74,FALSE,667
Chipinge,23,Chimoio,-20.7173336,32.3811458,2015,0,Non-Functional,Bush Pump Type B,1,FALSE,No,2023/03/24,3,Functional ,Perennial,29,94,TRUE,452
Chipinge,23,Tarisachawakananga,-20.6341609,32.4530362,1990,0,Non-Functional,Bush Pump Type A,1,FALSE,No,2022/10/18,1,Non-existent,Perennial,11,87,TRUE,19
Makoni,7,4,-18.1017084,32.1661327,2014,6,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/03/28,1,Functional,Perennial,47,62,TRUE,220
Makoni,24,Duri,-18.6534614,31.7851717,1971,0,Non-Functional,Bush Pump Type A,1,FALSE,No,2023/01/18,3,Non-existent,Perennial,45,26,FALSE,631
Chimanimani,20,Nhachi,-19.85414,32.4262121,1986,10,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/04,3,Functional,Perennial,9,39,TRUE,315
Nyanga,18,Mapako Village,-18.062317,32.6024507,1993,27,Fully Functional,Rope and Washer,1,FALSE,Yes,2022/11/12,1,Functional,Seasonal,0.146996463,27,FALSE,854
Mutasa,11,Timburwa,-18.5808216,32.6561726,1986,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/17,1,Functional,Seasonal,45,41,TRUE,318
Mutare,34,Tiny,-19.15158314,32.36644252,2015,9,Partially Functional,National Pump,1,FALSE,Yes,2022/07/08,2,Functional,Perennial,0.1889745,36,FALSE,748
Chipinge,26,Manyanga,-20.821,32.2045411,2000,21,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/15,1,Functional,Seasonal,0.624266995,31,TRUE,433
Mutare,27,Manzinde,-19.3865658,32.5388998,2015,0,Non-Functional,Bush Pump Type A,1,TRUE,Yes,2023/05/19,3,Non-functional ,Seasonal,0.812004073,95,TRUE,399
Buhera,21,Kanonge,-19.6327694,31.8542844,2014,30,Partially Functional,Bucket Only,1,TRUE,Yes,2023/04/02,3,Functional,Perennial,0.735941261,22,TRUE,175
Buhera,26,Nyararai,-19.2121545,32.001255,2015,33,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/18,3,Functional,Perennial,34,61,TRUE,198
Mutare,10,Muangirwa,-19.1812168,32.2941212,2010,25,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/30,1,Functional,Perennial,39,104,TRUE,532
Mutare,11,Kwembeya,-19.1588842,32.3757561,1999,37,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/12/13,1,Functional ,Perennial,7,35,TRUE,564
Mutare,29,Tsorokotyo,-19.6074259,32.3950498,2006,28,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/27,3,Functional ,Perennial,41,103,TRUE,585
Mutare,1,Village 8,-18.313428,32.4231344,1994,33,Fully Functional,Mono Pump,1,TRUE,Yes,2022/03/13,1,Functional,Perennial,39,84,TRUE,427
Mutasa,14,Kagweda,-18.6339332,32.5168346,2015,52,Non-Functional,Bush Pump Type B,1,FALSE,No,2023/02/20,3,Functional ,Perennial,0.828531089,115,TRUE,253
Chipinge,24,Mahachi,-20.7761487,32.2289172,1990,16,Non-Functional,Bush Pump Type B,1,FALSE,No,2022/04/19,2,Non-functional ,Seasonal,0.633747075,32,TRUE,279
Mutare,30,Ziduche,-19.5210421,32.284564,2014,25,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/05/10,1,Non-existent,Perennial,21,94,FALSE,623
Mutasa,26,Chinyamutangira,-18.3521247,32.1211153,1971,16,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/04/01,1,Functional,Perennial,30,53,TRUE,161
Mutare,24,Makota,-19.4082757,32.2895048,1956,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/02/20,1,Functional,Perennial,29,48,TRUE,365
Nyanga,15,Muwi Village,-18.0108082,32.8987582,2000,15,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/06,3,Functional,Perennial,5,65,TRUE,397
Chipinge,23,Kungai,-20.6750202,32.4481375,1989,16,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/30,1,Non-functional ,Seasonal,21,80,TRUE,458
Mutare,35,Nyangani,-19.0623165,32.5818219,1992,23,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/08,3,Functional ,Perennial,35,46,TRUE,84
Mutare,12,Ringai,-19.2512939,32.4556461,2004,15,Non-Functional,Bush Pump Type B,1,FALSE,No,2023/01/08,3,Functional ,Seasonal,36,57,FALSE,837
Mutare,30,Gamunorwa,-19.6336402,32.4146874,1989,18,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/05,1,Non-existent,Perennial,20,63,TRUE,409
Makoni,11,Village G,-18.6167361,32.1028366,2015,22,Fully Functional,National Pump,1,FALSE,No,2022/12/14,2,Non-existent,Seasonal,0.176075777,92,FALSE,731
Mutare,19,BWIZI,-19.3540319,32.4253148,1986,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/06/10,2,Functional,Perennial,9,92,TRUE,452
Buhera,5,Nyimo,-19.2592467,31.5481024,1993,15,Fully Functional,Bush Pump Type A,1,TRUE,Yes,2022/06/08,2,Functional,Perennial,21,54,TRUE,94
Chimanimani,5,Chibuwe,-19.6844831,32.4545968,1986,25,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/04/25,1,Functional,Perennial,33,50,TRUE,587
Chimanimani,3,Zvekuitrwa,-19.6002338,32.5094536,2015,14,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/07/22,2,Functional,Perennial,46,106,TRUE,518
Mutare,12,Shundure 1 (Batai),-19.1970588,32.4431154,2000,10,Non-Functional,Bush Pump Type A,1,FALSE,No,2022/02/18,1,Functional ,Seasonal,0.97208921,75,FALSE,724
Mutare,36,Nyamukondiwa,-19.2413347,32.512723,2015,10,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/12/09,1,Functional,Perennial,0.636086072,55,FALSE,741
Mutare,27,Manzinde,-19.3912513,32.5383756,2014,17,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/04/12,3,Non-Functional,Perennial,15,88,TRUE,434
Makoni,8,Riversdale R2,-18.259329,32.1228854,2015,10,Fully Functional,Bush Pump Type B,1,FALSE,No,2023/02/25,3,Functional,Perennial,45,56,TRUE,314
Mutasa,11,Matiza,-18.591181,32.6342906,2010,30,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/10/06,1,Functional,Perennial,40,56,TRUE,142
Chipinge,6,Singizi,-20.1583838,32.6717144,1999,17,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/05/13,2,Functional,Perennial,26,66,FALSE,779
Nyanga,7,Mutetwa,-17.7843105,32.55916,2006,16,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/15,1,Functional,Perennial,24,95,TRUE,363
Mutare,15,Mvududu,-19.134201,32.6729171,1994,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/11/17,2,Functional,Perennial,50,94,TRUE,461
Mutare,24,Chareka,-19.4805745,32.1952021,2015,52,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/29,1,Functional ,Perennial,29,42,TRUE,77
Makoni,7,9,-18.1174703,32.2262504,1990,0,Non-Functional,Bush Pump Type A,1,FALSE,No,2023/01/06,3,Non-existent,Perennial,20,23,TRUE,173
Makoni,7,14,-18.1639549,32.1035099,2014,30,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/01/19,1,Non-Functional,Perennial,0.536544798,54,TRUE,443
Chipinge,28,Muchuka,-20.1806756,32.3456317,1971,27,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/21,3,Functional,Perennial,13,113,TRUE,17
Mutare,28,Gwite,-19.4675511,32.3717676,1966,20,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/07,1,Functional,Perennial,48,90,TRUE,231
Mutasa,24,Ndorikanda,-18.7879236,32.5857083,2008,15,Non-Functional,Bush Pump Type A,1,FALSE,Yes,2022/03/29,2,Functional ,Perennial,41,73,FALSE,840
Mutare,30,Makotamo,-19.6044244,32.2488042,1998,40,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/06/28,2,Non-functional ,Perennial,47,85,FALSE,812
Makoni,19,Chirisa Village 1,-18.5283643,32.2471697,2013,10,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/04/17,3,Functional,Perennial,25,57,FALSE,894
Buhera,29,Zvokuda,-19.8186566,32.0842493,1998,26,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/27,3,Functional,Perennial,11,67,TRUE,30
Chipinge,4,Matandana Village,-20.0729838,32.4530992,1986,30,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/02/26,1,Non-existent,Perennial,35,36,TRUE,88
Makoni,27,Rukweza Village,-18.3123031,32.0245441,1986,18,Fully Functional,Bush Pump Type A,1,TRUE,Yes,2022/04/29,2,Functional,Seasonal,0.24225396,114,FALSE,946
Chipinge,1,Murepa,-19.4131538,32.4122308,1993,35,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/09/27,1,Functional,Perennial,43,47,TRUE,197
Nyanga,14,Marugumisa,-17.932822,32.9062437,1986,30,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/09/21,2,Non-Functional,Perennial,13,87,TRUE,514
Mutare,10,Bemhiwa,-19.2700092,32.301816,2015,44,Non-Functional,Bush Pump Type B,9,FALSE,Yes,2022/08/12,2,Functional ,Seasonal,14,102,TRUE,560
Makoni,10,33 Domborembizi,-18.3568756,32.3891833,2000,0,Non-Functional,Bush Pump Type B,1,TRUE,Yes,2022/02/20,2,Non-existent,Perennial,39,67,TRUE,413
Chimanimani,18,Nechirinda,-19.7768432,32.6694033,2015,33,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/01/24,3,Functional,Perennial,21,52,TRUE,413
Mutare,30,Tonhorai,-19.6446706,32.3461894,2014,20,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/26,1,Non-existent,Perennial,25,84,TRUE,245
Makoni,12,Chibongore,-18.5460845,32.0323047,2015,15,Non-Functional,Bush Pump Type B,1,TRUE,Yes,2022/11/19,1,Non-existent,Perennial,48,112,TRUE,117
Makoni,24,Kasvosve,-18.6843288,31.83048,2010,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/02/16,1,Functional,Perennial,41,112,FALSE,782
Makoni,35,5,-17.8933515,32.1758539,1999,16,Non-Functional,National Pump,1,FALSE,Yes,2022/12/24,1,Non-existent,Perennial,22,77,FALSE,819
Mutasa,19,Marira,-18.6671604,32.6390392,2006,25,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/01/25,2,Functional,Perennial,15,106,FALSE,905
Buhera,2,Machavagu,-19.239636,31.2351357,1994,16,Partially Functional,Bush Pump Type B,1,TRUE,Yes,2022/07/31,2,Non-Functional,Perennial,30,34,TRUE,424
Chipinge,6,Nafferton A,-20.1854792,32.5636576,2015,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/24,1,Functional,Perennial,27,107,TRUE,471
Chipinge,29,Chitundira,-21.0033885,32.3379186,1990,15,Partially Functional,Bush Pump Type B,1,FALSE,No,2023/03/29,3,Non-Functional,Perennial,46,21,TRUE,119
Mutasa,6,Mangwara,-18.5145718,32.8359491,2014,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/11/22,1,Functional,Seasonal,9,36,TRUE,424
Buhera,4,Komboni,-19.2858043,31.3774173,1971,23,Non-Functional,National Pump,1,FALSE,No,2023/01/25,3,Non-existent,Seasonal,0.05326934,47,FALSE,866
Mutare,24,Mupombwa,-19.4653081,32.31608,1986,15,Non-Functional,Bush Pump Type A,1,FALSE,No,2022/08/03,1,Non-existent,Perennial,20,62,TRUE,548
Mutare,24,Makota,-19.4017066,32.3027694,2005,18,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/11/13,2,Functional,Perennial,25,115,TRUE,10
Chipinge,23,Mapundu,-20.635386,32.4046126,1986,22,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/23,3,Functional,Perennial,33,80,TRUE,339
Mutare,10,Gandira,-19.24313,32.2501949,1993,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/07/20,1,Functional,Perennial,40,109,TRUE,419
Nyanga,16,35a,-18.1480533,32.5207386,1986,15,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/02/21,1,Functional,Perennial,37,20,TRUE,399
